"Nama","Alamat","No. Telp","Website","Jenis Entitas","Jenis Kegiatan","Tgl Input","Keterangan"
"Alipinjaman - Ali Pinjaman Uang Kilat Dana Kredit","-","","alipinjaman1818@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-07/IX/SWI/2018"
"Aku Rupiah","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Angel Yuk","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Angelku","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Ayo Uang","","","cs@ayouang.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"AyoRupiah","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"BambuLoan","","","operating@escashindo.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Bantuan Pinjaman","","","iamrobottx2@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Bee Cash","","","wangjunghua011@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Bos Tunai","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Bos Uang","","","bosuangreal@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"BosPinjaman","","","Gedung Cyber 2 Lantai 35 Unit D-E Jl. HR Rasuna Said, Blok X5 no 13 Kuningan, Setia Budi Jakarta Selatan 12950 Indonesia","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"BosRupiah","","","Mamaidafarida.04@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"BusKas","","","w13058867415@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Cara Pinjam Uang Online","","","godevalfarizi@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Cari Dana","","","rupiahkilat@qq.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Cari Rupiah","","","wuyoumoka@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Cash","","","","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Cash Bon","","","pinjamanflt@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Cash Kilat","","","pinjamanflt@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
"Cash loan 2 minutes","","","loanfastest@gmail.com","Fintech Ilegal","Peer To Peer Lending","13/12/2021","SP-05/VII/SWI/2018"
